,id
479,2850739.0
480,2859658.0
481,3190895.0
482,2860509.0
483,3202545.0
484,2863287.0
485,2870256.0
486,2871495.0
487,2475555.0
488,2484542.0
489,3205897.0
490,2490218.0
491,2879166.0
492,3206114.0
493,2880473.0
494,2492298.0
495,3210707.0
496,2494188.0
497,2494193.0
498,2886185.0
499,2891445.0
500,3213245.0
501,3220770.0
502,3250010.0
503,3252346.0
504,2897611.0
505,3252463.0
506,2915854.0
507,2923186.0
508,2947572.0
509,2955372.0
510,2504621.0
511,2507281.0
512,2507816.0
513,3255514.0
514,2511423.0
515,2524692.0
516,2957066.0
517,2972982.0
518,2973913.0
519,3262197.0
520,2530014.0
521,3280613.0
522,3504143.0
523,3505474.0
524,2974414.0
525,3288641.0
526,2977025.0
527,3505566.0
528,3294944.0
529,2981352.0
530,3295642.0
531,2981624.0
532,3300225.0
533,2985827.0
534,2986023.0
535,3514760.0
536,3519460.0
537,3305391.0
538,3306526.0
539,3524556.0
540,3525932.0
541,2995350.0
542,3308903.0
543,3309968.0
544,2996117.0
545,3005705.0
546,3529955.0
547,3536920.0
548,3319854.0
549,3539185.0
550,3016187.0
551,3333055.0
552,3019153.0
553,3559359.0
554,3566697.0
555,3342026.0
556,3566984.0
557,3574671.0
558,4178912.0
559,3346051.0
560,4179698.0
561,3579898.0
562,3349247.0
563,4180038.0
564,3351777.0
565,4180609.0
566,3591001.0
567,3598284.0
568,4185421.0
569,3352809.0
570,4185536.0
571,4185577.0
572,3602441.0
573,3603502.0
574,3360087.0
575,3621945.0
576,4185779.0
577,4185926.0
578,4187332.0
579,4187463.0
580,3360717.0
581,3365406.0
582,4187519.0
583,4187570.0
584,3625626.0
585,3371799.0
586,3641521.0
587,4187679.0
588,4187790.0
589,3375698.0
590,4188108.0
591,4192636.0
592,3643766.0
593,3375764.0
594,3665799.0
595,4192702.0
596,3378771.0
597,4192924.0
598,4193277.0
599,3381193.0
600,4193325.0
601,4193366.0
602,3669968.0
603,3387648.0
604,3682564.0
605,3393830.0
606,3685713.0
607,4193450.0
608,4229695.0
609,3409884.0
610,3421007.0
611,3691672.0
612,3691767.0
613,3691983.0
614,3429688.0
615,3693525.0
616,4247531.0
617,4298236.0
618,4300245.0
619,3695718.0
620,3436821.0
621,3709281.0
622,3709608.0
623,4300887.0
624,4318936.0
625,3437847.0
626,3719969.0
627,3453218.0
628,3720957.0
629,4320916.0
630,4321333.0
631,3454527.0
632,4353290.0
633,3740677.0
634,3455835.0
635,3749143.0
636,3754759.0
637,4411369.0
638,3456555.0
639,4415028.0
640,3756407.0
641,3464770.0
642,3766302.0
643,4428377.0
644,3467235.0
645,4429400.0
646,3774103.0
647,4469710.0
648,3473342.0
649,4471942.0
650,3473875.0
651,4475062.0
652,4481204.0
653,3784957.0
654,3794680.0
655,3478363.0
656,3801020.0
657,4486094.0
658,4486149.0
659,3485833.0
660,4491109.0
661,3802228.0
662,3814982.0
663,4505494.0
664,3486515.0
665,3487986.0
666,3498074.0
667,4509181.0
668,4852331.0
669,4513959.0
670,4514320.0
671,3822474.0
672,4855253.0
673,3823227.0
674,4516610.0
675,4858244.0
676,4858323.0
677,4522430.0
678,3830964.0
679,4858355.0
680,3840791.0
681,4858982.0
682,3841461.0
683,4858983.0
684,4858990.0
685,4858997.0
686,3856874.0
687,4564876.0
688,4858999.0
689,4862021.0
690,4577693.0
691,4580257.0
692,3858472.0
693,4871618.0
694,3864549.0
695,4872413.0
696,4878647.0
697,3866849.0
698,3868758.0
699,4588130.0
700,4593495.0
701,4878900.0
702,4602103.0
703,3880175.0
704,4928837.0
705,3903945.0
706,3909073.0
707,3910223.0
708,4602453.0
709,4940215.0
710,4940354.0
711,3926712.0
712,3926941.0
713,4945711.0
714,3927395.0
715,4605966.0
716,4951768.0
717,4609283.0
718,3929477.0
719,4951983.0
720,3937753.0
721,4626510.0
722,4963977.0
723,4627289.0
724,4628002.0
725,3951486.0
726,3952294.0
727,3954374.0
728,5016182.0
729,3954924.0
730,4628461.0
731,5016314.0
732,4629577.0
733,5016358.0
734,4630324.0
735,3997885.0
736,5016426.0
737,4015522.0
738,4633956.0
739,4640626.0
740,5018326.0
741,4673635.0
742,4031499.0
743,4035605.0
744,5027143.0
745,4036702.0
746,4042715.0
747,4674693.0
748,4676402.0
749,5036576.0
750,4677574.0
751,5037137.0
752,4677626.0
753,4682669.0
754,4045925.0
755,4055404.0
756,5042193.0
757,4060278.0
758,5043462.0
759,4060369.0
760,4690390.0
761,4690439.0
762,5044110.0
763,4691722.0
764,4698306.0
765,4726485.0
766,4062882.0
767,5045473.0
768,4063827.0
769,4726883.0
770,5045538.0
771,4732501.0
772,4065562.0
773,5045644.0
774,4096736.0
775,5047716.0
776,4107319.0
777,5052596.0
778,4745121.0
779,5054274.0
780,5062150.0
781,4750297.0
782,4116311.0
783,4117982.0
784,5064069.0
785,4131168.0
786,4156339.0
787,4751983.0
788,4758082.0
789,5064630.0
790,4158818.0
791,5065493.0
792,4176173.0
793,4780132.0
794,5066317.0
795,4785074.0
796,4176401.0
797,5066615.0
798,4176545.0
799,4792378.0
800,5066957.0
801,4178807.0
802,5075952.0
803,4792530.0
804,5082901.0
805,5083933.0
806,4798839.0
807,5246928.0
808,5089461.0
809,5264907.0
810,5273765.0
811,4807291.0
812,5091336.0
813,4807327.0
814,4839819.0
815,5273809.0
816,5101245.0
817,5274004.0
818,5276643.0
819,5277065.0
820,4843091.0
821,5101541.0
822,4843963.0
823,4844497.0
824,4844560.0
825,5277817.0
826,5279678.0
827,5112338.0
828,5279761.0
829,4844628.0
830,4844753.0
831,5121597.0
832,5282222.0
833,5122150.0
834,4845783.0
835,5122555.0
836,5857046.0
837,5301231.0
838,5122588.0
839,5306106.0
840,5859488.0
841,5129670.0
842,5132948.0
843,5860868.0
844,5306962.0
845,5337348.0
846,5147997.0
847,5368792.0
848,5863629.0
849,5155614.0
850,5878825.0
851,5370825.0
852,5158554.0
853,5158828.0
854,5373120.0
855,5377126.0
856,5887565.0
857,5159134.0
858,5891760.0
859,5899749.0
860,5381396.0
861,5400644.0
862,5159403.0
863,5402208.0
864,5160148.0
865,5411028.0
866,5901346.0
867,5168479.0
868,5902600.0
869,5909809.0
870,5914200.0
871,5418123.0
872,5425248.0
873,5178495.0
874,5916709.0
875,5924078.0
876,5179427.0
877,5426040.0
878,5427063.0
879,5180075.0
880,5427219.0
881,5928090.0
882,5180241.0
883,5180764.0
884,5928162.0
885,5929666.0
886,5428087.0
887,5187398.0
888,5428143.0
889,5188056.0
890,5429715.0
891,5933928.0
892,5197089.0
893,5954577.0
894,5445145.0
895,5197194.0
896,5968789.0
897,5197206.0
898,5971640.0
899,5459797.0
900,5197336.0
901,5468112.0
902,5197347.0
903,5468239.0
904,5974822.0
905,5197483.0
906,5197896.0
907,5198621.0
908,5200395.0
909,5981692.0
910,5982651.0
911,5468360.0
912,5477071.0
913,5202442.0
914,5212836.0
915,5483552.0
916,5486531.0
917,5986682.0
918,5498322.0
919,5996753.0
920,5216392.0
921,5505532.0
922,5226758.0
923,5528382.0
924,5999628.0
925,6000566.0
926,6009497.0
927,6012959.0
928,5228507.0
929,5228686.0
930,5534873.0
931,5229298.0
932,5229783.0
933,6021057.0
934,5232972.0
935,6023201.0
936,5536535.0
937,5541479.0
938,6023423.0
939,6023563.0
940,5233871.0
941,6039292.0
942,5236563.0
943,5542522.0
944,5237965.0
945,6040464.0
946,6051577.0
947,5244745.0
948,6062602.0
949,5544578.0
950,5548731.0
951,6383188.0
952,6067113.0
953,6087161.0
954,6388147.0
955,5551464.0
956,5553700.0
957,6393462.0
958,5553952.0
959,5564254.0
960,6096881.0
961,6104381.0
962,6396078.0
963,6399914.0
964,6108882.0
965,5566779.0
966,6423416.0
967,6432674.0
968,5574009.0
969,6110919.0
970,6440872.0
971,6111060.0
972,6117468.0
973,5586953.0
974,6445993.0
975,6447798.0
976,5590055.0
977,5597576.0
978,6117705.0
979,6448470.0
980,6124156.0
981,6449464.0
982,6128350.0
983,5601684.0
984,5613371.0
985,5616445.0
986,6456663.0
987,6137471.0
988,6456779.0
989,6458821.0
990,6139028.0
991,6162139.0
992,5627363.0
993,5630104.0
994,6470330.0
995,6470347.0
996,6174056.0
997,6176434.0
998,6476323.0
999,6183855.0
1000,5640272.0
1001,5647024.0
1002,6476719.0
1003,5648463.0
1004,6184041.0
1005,6476730.0
1006,5649244.0
1007,6479548.0
1008,6189669.0
1009,6484090.0
1010,6190687.0
1011,6191308.0
1012,6191437.0
1013,5659323.0
1014,5663298.0
1015,6490129.0
1016,5666419.0
1017,6191590.0
1018,6499431.0
1019,5668699.0
1020,6508267.0
1021,5674598.0
1022,5675410.0
1023,5677250.0
1024,6195266.0
1025,6195697.0
1026,6221260.0
1027,6535521.0
1028,6226878.0
1029,6228924.0
1030,5678505.0
1031,6535737.0
1032,5688185.0
1033,6233431.0
1034,6537071.0
1035,6547940.0
1036,6549466.0
1037,6269221.0
1038,5688550.0
1039,6563578.0
1040,5688560.0
1041,6564066.0
1042,6274985.0
1043,6564284.0
1044,6275537.0
1045,6564620.0
1046,5717122.0
1047,6565295.0
1048,5722300.0
1049,5728151.0
1050,6281001.0
1051,6568526.0
1052,6281535.0
1053,6293932.0
1054,5731070.0
1055,5732240.0
1056,5737696.0
1057,6581666.0
1058,6294246.0
1059,6581776.0
1060,6298092.0
1061,6300445.0
1062,5739958.0
1063,5745109.0
1064,6582105.0
1065,5752142.0
1066,5757602.0
1067,6304812.0
1068,6582485.0
1069,6307437.0
1070,6308940.0
1071,5764239.0
1072,6583091.0
1073,5765921.0
1074,6310860.0
1075,6312141.0
1076,6586959.0
1077,6314814.0
1078,6587748.0
1079,5767777.0
1080,6597411.0
1081,6319741.0
1082,6604255.0
1083,5790176.0
1084,6606853.0
1085,6619148.0
1086,5798860.0
1087,6320391.0
1088,6321717.0
1089,6325805.0
1090,6623294.0
1091,6339508.0
1092,5816829.0
1093,6624109.0
1094,5820235.0
1095,6341070.0
1096,6630452.0
1097,6347737.0
1098,6351314.0
1099,6632027.0
1100,6352989.0
1101,6353339.0
